               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8991,              1.5975,              1.8897,             0.43758,              0.2754,             0.29907,              0.1791,                   0,                   0,                   0,              0.0721,              0.0031,              0.0031
                   1,              1.9467,              1.6233,              1.9286,             0.44734,             0.27502,              0.2946,             0.17558,                   0,                   0,                   0,            0.043238,           0.0062376,           0.0062376
                   2,              1.9554,              1.6097,              1.9142,             0.40119,             0.27678,             0.27562,             0.16207,                   0,                   0,                   0,            0.014312,           0.0093119,           0.0093119
                   3,              1.9513,               1.621,              1.9108,             0.40408,             0.31459,             0.30013,             0.17732,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.9635,              1.6682,              1.8729,             0.41684,             0.32288,             0.30349,             0.18263,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,               1.931,              1.5607,              1.8697,              0.4052,             0.32389,             0.31007,             0.18533,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.8899,              1.5688,              1.8222,              0.4475,             0.32499,             0.30389,             0.17998,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.9142,              1.5161,              1.8358,             0.45247,             0.30916,             0.31839,             0.19287,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.8901,               1.518,               1.815,              0.4745,             0.27781,             0.30987,             0.18573,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.8719,              1.5062,              1.7983,             0.47512,             0.31253,             0.31758,             0.18961,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.8703,              1.5087,              1.7958,             0.41932,             0.21361,             0.21107,             0.12888,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.8232,              1.4816,              1.8237,             0.42212,             0.35117,             0.31616,             0.19102,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.8159,              1.4546,              1.7909,             0.41519,             0.31182,             0.33209,             0.19865,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.8303,              1.4289,              1.7739,             0.49989,             0.34953,               0.349,             0.21102,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.8694,              1.4724,              1.7905,             0.46807,             0.33774,             0.33293,             0.20165,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
