               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.6593,              1.2235,               1.655,              0.5125,             0.37455,             0.39899,             0.24991,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.6861,               1.242,              1.6406,             0.55306,             0.36757,             0.38204,             0.23981,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.6851,              1.2387,              1.6337,             0.56971,             0.37685,             0.40065,             0.25267,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,                1.67,              1.2215,              1.6333,             0.54591,              0.3775,             0.38809,             0.24463,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.6453,              1.2094,              1.6392,             0.57098,             0.40273,             0.40924,             0.25591,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.6797,              1.2185,              1.6343,             0.55123,             0.36225,             0.39719,             0.25031,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.6351,              1.1873,              1.6223,             0.57577,             0.37635,             0.40968,             0.25459,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.6501,              1.2197,               1.642,              0.5511,             0.37624,             0.40073,             0.25177,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.6565,              1.2002,                1.63,             0.52542,             0.36596,             0.39273,             0.24945,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,               1.652,              1.2009,              1.6232,             0.55084,              0.3784,              0.4091,             0.25992,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.6207,              1.1837,              1.6321,             0.58895,             0.34502,             0.38836,              0.2461,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,               1.646,              1.1921,              1.6324,             0.55992,             0.39094,             0.41783,             0.26311,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.6486,              1.2146,              1.6277,             0.56404,             0.39237,             0.41329,             0.26194,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.6601,              1.2026,              1.6321,             0.53881,             0.41184,             0.41695,             0.26283,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.6423,              1.1804,               1.613,              0.5782,             0.38547,             0.40467,             0.25885,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.6595,              1.1813,              1.6182,             0.54064,             0.38397,             0.40219,              0.2607,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.6021,               1.165,              1.6148,              0.5792,             0.37971,             0.40757,              0.2576,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.6254,               1.192,              1.6164,             0.57036,             0.38442,             0.41406,              0.2629,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.6088,              1.1711,              1.5998,             0.53365,             0.37038,             0.40284,             0.25507,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,               1.643,              1.1788,              1.5869,             0.58766,             0.37356,             0.41454,             0.26184,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.6524,              1.1835,              1.6215,             0.59114,             0.37802,              0.4147,              0.2619,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,               1.637,              1.1741,              1.6006,             0.56609,             0.37376,             0.40512,             0.25647,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.6384,              1.1808,              1.6024,             0.58427,              0.3806,             0.40654,             0.25964,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.6315,               1.186,              1.6195,              0.5431,             0.40087,             0.41347,             0.26527,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.6067,              1.1449,              1.5867,             0.58634,             0.37074,             0.40962,             0.26376,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.6236,              1.1804,              1.6219,             0.56634,             0.38224,              0.4139,             0.26605,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.6008,              1.1585,              1.5816,             0.62383,             0.36863,             0.41102,             0.26256,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.5981,              1.1304,              1.5775,             0.55891,             0.39033,             0.41257,             0.26358,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.6273,              1.1606,              1.5958,             0.65227,             0.36574,             0.42208,             0.26949,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.5917,              1.1297,              1.5832,             0.61405,             0.39254,             0.41498,             0.26546,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.6052,              1.1439,              1.5829,             0.57321,             0.39021,             0.42371,             0.27398,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,               1.596,              1.1482,              1.5774,              0.5506,             0.38481,             0.41485,             0.26727,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.6087,              1.1445,              1.6019,             0.63033,             0.37045,             0.42909,             0.27586,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.6083,              1.1399,              1.5783,             0.61508,             0.37867,             0.42207,             0.27105,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
