               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.6422,              5.2606,              5.3016,          9.7156e-05,            0.011225,          5.5614e-05,          1.1021e-05,                   0,                   0,                   0,              0.0721,              0.0031,              0.0031
                   1,              3.8042,              3.5156,              4.5532,          0.00012122,            0.011308,          6.7782e-05,          1.3219e-05,                   0,                   0,                   0,            0.042988,           0.0059881,           0.0059881
                   2,              3.2639,              2.8677,              3.7778,             0.85616,            0.072059,            0.078909,            0.029928,                   0,                   0,                   0,             0.01356,           0.0085595,           0.0085595
                   3,              2.8037,              2.6012,              3.2443,             0.64958,             0.18141,             0.13955,            0.065339,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   4,              2.6338,              2.3571,              2.8869,             0.60693,             0.19163,             0.16004,            0.071233,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   5,              2.3567,               2.504,              2.6904,             0.63508,             0.19493,             0.19252,             0.10014,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   6,               2.197,              2.2563,              2.4887,              0.6452,             0.19892,             0.19875,              0.1039,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                   7,              2.1442,              2.1213,              2.3635,             0.40901,             0.19421,              0.1947,             0.10282,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   8,              2.0856,              2.0768,              2.2632,             0.54943,              0.1985,             0.21995,               0.122,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                   9,              2.0354,              1.9881,              2.1967,             0.67066,             0.21005,             0.21787,             0.11881,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  10,              2.0062,              1.9249,              2.1366,             0.58808,             0.20082,             0.22896,             0.12646,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  11,              1.9447,              1.8618,              2.0891,             0.56242,             0.21719,             0.23479,             0.13194,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  12,              1.9658,              1.8628,              2.0605,             0.56241,             0.22673,             0.23507,             0.13442,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  13,               1.944,              1.8126,              2.0385,             0.51833,              0.2194,             0.24859,             0.14239,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  14,              1.9261,              1.7848,              1.9741,             0.35118,              0.2656,             0.25881,              0.1486,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  15,              1.8965,               1.738,               1.975,             0.37854,             0.24777,             0.26008,              0.1513,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  16,              1.8733,              1.7068,              1.9754,             0.48684,             0.24949,             0.27716,             0.16329,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  17,              1.8561,              1.6698,              1.9248,             0.45773,             0.26038,              0.2843,             0.16675,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  18,              1.8481,              1.7004,              1.9257,             0.62682,              0.2452,             0.28808,             0.17114,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  19,               1.866,              1.6583,              1.9006,             0.40169,             0.27041,             0.28798,              0.1689,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
