               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.6301,              5.2425,              5.3113,          0.00011784,            0.011308,          6.4926e-05,          1.3152e-05,                   0,                   0,                   0,              0.0721,              0.0031,              0.0031
                   1,              3.7606,              3.4546,              4.5462,           0.0001125,            0.010019,          7.6956e-05,          1.6215e-05,                   0,                   0,                   0,            0.043238,           0.0062376,           0.0062376
                   2,              3.2141,              2.8003,              3.7042,             0.89912,            0.038146,            0.099779,            0.039428,                   0,                   0,                   0,            0.014312,           0.0093119,           0.0093119
                   3,              2.7781,              2.5953,              3.1861,             0.71579,             0.15714,             0.14151,            0.070192,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.5987,              2.3832,              2.8148,             0.61616,             0.15144,             0.14148,            0.072706,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.4077,              2.1053,              2.5861,             0.62778,             0.20091,             0.19375,             0.10125,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.2179,              2.0095,              2.3671,             0.67764,              0.2009,             0.20973,             0.11156,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.2056,              1.8848,              2.2699,             0.67112,             0.21159,             0.21869,             0.11949,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
